symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,80000,-0.027389706568018098,2798.6472368896234,11268.301193632627,-308.6354632136457,-246908.37057091657,2.0,22536.602387265255,1802928190.9812205,0.47683686551339255,-0.06675948335776072,0.07238030069757274,0.9272585580962156,0.00036114120621162876,14819.103881565126,1861.4267927394226,33.55484210526316,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,90000,-0.030258142182890815,2974.1315360738413,10603.431495040988,-320.8401378034927,-288756.12402314343,1.9999999999999998,21206.862990081972,1908617669.1073775,0.4896564418090388,-0.069292416035108,0.06980683223903321,0.9299647920829764,0.00022837567799029404,13846.3433934024,2158.7415174050957,37.479000000000006,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,10000,-0.7426579594826614,451595.6746008826,69.83237832796189,-51.86157159486541,-5186.157159486541,188.67251947860123,13175.45076031944,131754507.6031944,2.8829162313651655,-4.663182311230665,0.5195432221852959,0.48045677781470403,0.0,293537.3903138827,622512.42321051,0.0,78.25394907514348,308.0739360169084,0.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,20000,-0.9165828345943463,450101.6289742404,70.06417655467945,-64.21962155000683,-12843.924310001368,177.78233969202483,12456.173236486024,249123464.72972047,2.8744492323914286,-4.808404907161757,0.5065594116295105,0.49344058837048954,0.0,286629.1700543911,617920.2368466296,0.0,71.69049563528793,286.69478704773263,0.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,30000,-1.0893399941607882,449866.92410164466,70.1007304837433,-76.36352933582792,-22909.05880074838,170.9442721600768,11983.318350433206,359499550.5129962,2.864361958998006,-4.986811004252041,0.4964189463580315,0.5035810536419685,0.0,286686.36424703454,610726.6725041971,0.0,67.27843676793218,273.1357354935669,0.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,40000,-1.1460484598971423,447714.9848389202,70.43766920454111,-80.72498231060871,-32289.99292424348,163.88503847831936,11543.68012790935,461747205.116374,2.885475572748727,-5.046288227750077,0.49172414433315076,0.5082758556668492,0.0,287449.52396413067,602761.493021807,0.0,64.07479705493675,260.4450167114131,0.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,50000,-1.2381537256569257,449627.29067006183,70.13809138009204,-86.84173915272686,-43420.86957636343,158.59079607738022,11123.255747316834,556162787.3658417,2.8573893397100365,-5.136929251457745,0.4876932888449345,0.5123067111550654,0.0,284582.3030688145,606742.8057667605,0.0,61.32197479389747,251.18640398354623,0.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,60000,-1.3463653453050106,453726.6762963785,69.50439911846927,-93.57831431935514,-56146.98859161309,155.32261334316254,10795.60490992685,647736294.595611,2.854316179817073,-5.227555269633304,0.48023405823811277,0.5197659417618872,0.0,289212.0861831334,605728.7658939633,0.0,59.80205315168378,243.57815796471945,0.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,70000,-1.4095138839679098,451779.4424819758,69.80397298900593,-98.3896690841248,-68872.76835888736,151.7246010210183,10590.979951438861,741368596.6007203,2.8405747522075524,-5.268809491993008,0.4759048889297705,0.5240951110702295,0.0,284070.878658085,604067.3073242888,0.0,57.913796435888514,236.9095599978939,0.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,80000,-1.4589951140226451,457732.7076542779,68.89610349588324,-100.51907837569213,-80415.2627005537,148.2572944052396,10214.349899363018,817147991.9490415,2.855813904804558,-5.363682320369198,0.4750518887505189,0.5249481112494812,0.0,286620.2668901899,612580.942044933,0.0,56.12396597926133,231.6333667211415,0.0
BTCUSDC,Fixed volumes with 1 unit thresholds (v2),0,90000,-1.5087594606225707,451132.1345551467,69.90413137183651,-105.46851954386138,-94921.66758947523,145.23557421156283,10152.5666595492,913730999.359428,2.8550153827861884,-5.383726316701673,0.47033479109072923,0.5296652089092708,0.0,280781.78304371925,602400.7012698692,0.0,53.73453902103401,226.4871262240997,0.0
