symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,60000,-0.026744452663029248,1504.7414248763357,20957.753590515877,-560.5036488249832,-336302.1892949899,2.0,41915.50718103175,2514930430.861905
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,70000,-0.028957313248548097,1587.4211438549842,19866.183666557557,-575.271303485697,-402689.9124399879,2.0,39732.367333115115,2781265713.318058
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,80000,-0.03334123064706552,1620.2970955061487,19463.097284728996,-648.923615676424,-519138.8925411392,2.0,38926.19456945799,3114095565.556639
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,90000,-0.03708325697638543,1647.7760168748462,19138.52348683338,-709.7187846108304,-638746.9061497473,2.0,38277.04697366676,3444934227.630008
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,10000,-0.00886801055090996,1350.5494754814788,23350.49590742111,-207.0724440759903,-20707.244407599028,2.0,46700.99181484222,467009918.14842224
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,20000,-0.012687121711233084,1448.474926658752,21771.864614008333,-276.2222962384124,-55244.459247682484,2.0,43543.729228016666,870874584.5603334
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,30000,-0.020042814355061667,1508.5097642049739,20905.39998368545,-419.00305089131666,-125700.915267395,2.0,41810.7999673709,1254323999.021127
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,40000,-0.02562551400757775,1477.1511827850097,21349.20268658098,-547.0842924955974,-218833.71699823896,2.0,42698.40537316196,1707936214.9264784
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,50000,-0.027304613840826504,1669.8139152191504,18885.93675772617,-515.6732101919839,-257836.60509599195,2.0,37771.87351545234,1888593675.7726169
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,60000,-0.030579004286315135,1666.6368332046625,18921.938704163626,-578.6140447400119,-347168.42684400716,2.0,37843.87740832725,2270632644.499635
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,70000,-0.03285356776611258,1628.5061428974811,19364.98682399215,-636.2089069119035,-445346.2348383324,2.0,38729.9736479843,2711098155.358901
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,80000,-0.03390328858851364,1761.3180486673953,17904.77308959616,-607.0306891684316,-485624.5513347453,2.0,35809.54617919232,2864763694.335386
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,90000,-0.03035569469829747,1930.9196281915497,16332.11426284781,-495.7726743407178,-446195.40690664604,2.0,32664.22852569562,2939780567.312606
ETHUSDC,Fixed volumes with 1 unit thresholds (v2),0,10000,-0.49589605355027844,215390.26471698043,146.41330257631574,-72.6057789348578,-7260.57789348578,165.44808543986585,24223.800594179218,242238005.9417922
