symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,1000,-0.011075310506176652,1083.2268434252458,29113.015608328875,-322.4356876334097,-3224.356876334097,2.0,58226.03121665775,58226031.21665775
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,100000,-0.11739192480886224,2213.507711495916,14247.070311170311,-1672.4910067154785,-1672491.0067154786,2.0,28494.140622340623,2849414062.234062
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,200000,-0.17560993022682989,2684.2423514633156,11748.566586324867,-2063.164958489775,-4126329.91697955,2.0,23497.133172649734,4699426634.529946
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,300000,-0.21870337920398109,3258.789718656358,9677.212315804994,-2116.4390347409353,-6349317.104222805,2.0,19354.42463160999,5806327389.482997
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,500000,-0.2882231927436198,4068.195227810588,7751.840370004064,-2234.2601810814544,-11171300.905407272,2.0,15503.680740008129,7751840370.004065
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,1000,-0.012644963816562342,1083.9690495760087,29093.081589677502,-367.8809640137681,-3678.809640137681,2.0,58186.163179355004,58186163.179355
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,100000,-0.12102492496279837,2144.228364947599,14707.388688410845,-1779.9606124136324,-1779960.6124136322,2.0,29414.77737682169,2941477737.682169
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,200000,-0.17115522548789755,2880.8335116954054,10946.831835985095,-1873.6074712661243,-3747214.9425322483,2.0,21893.66367197019,4378732734.394038
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,300000,-0.21181834197248,3396.966036587178,9283.578246099627,-1966.4321516606071,-5899296.454981822,2.0,18567.156492199254,5570146947.659776
SOLUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,500000,-0.2837749781360017,4191.200191770733,7524.3363611978675,-2135.2183863868477,-10676091.93193424,2.0,15048.672722395735,7524336361.197867
SOLUSDC,Fixed volumes with 1 unit thresholds,0,1000,-0.2524722102443921,137051.12928092215,230.10390476505097,-58.09484142189751,-580.9484142189751,129.80053413958177,29867.60974610707,29867609.74610707
SOLUSDC,Fixed volumes with 1 unit thresholds,0,100000,-2.1965064624313344,137145.0378370333,229.9463436473261,-505.07862983380824,-505078.6298338082,56.361228078991005,12960.05832023699,1296005832.023699
SOLUSDC,Fixed volumes with 1 unit thresholds,0,200000,-2.58368345367133,137761.23954427725,228.91780085837678,-591.4511343286165,-1182902.2686572329,44.48724597479346,10183.922514795393,2036784502.9590786
